LiquidClassName,Volume,StepType,Sheet,CurveID,Channel,Time,StepNumber,TadmMode,TadmError
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,1,1,7/18/2022 11:04:03 AM,717,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,2,2,7/18/2022 11:04:04 AM,717,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,31,1,7/19/2022 3:28:16 PM,3846,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,36,1,7/19/2022 3:30:51 PM,4087,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,37,2,7/19/2022 3:30:53 PM,4087,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,38,3,7/19/2022 3:30:53 PM,4087,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,39,4,7/19/2022 3:30:54 PM,4087,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,40,5,7/19/2022 3:30:54 PM,4087,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,41,6,7/19/2022 3:30:55 PM,4087,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,42,7,7/19/2022 3:30:55 PM,4087,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,43,8,7/19/2022 3:30:56 PM,4087,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,76,1,7/19/2022 3:33:52 PM,4629,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,77,2,7/19/2022 3:33:53 PM,4629,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,78,3,7/19/2022 3:33:54 PM,4629,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,79,4,7/19/2022 3:33:54 PM,4629,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,80,5,7/19/2022 3:33:55 PM,4629,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,81,6,7/19/2022 3:33:56 PM,4629,0,1
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,82,7,7/19/2022 3:33:56 PM,4629,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,83,6,7/19/2022 3:33:57 PM,4633,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,272,1,7/19/2022 4:35:39 PM,9431,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,273,2,7/19/2022 4:35:40 PM,9431,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,274,3,7/19/2022 4:35:41 PM,9431,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,275,4,7/19/2022 4:35:42 PM,9431,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,276,5,7/19/2022 4:35:42 PM,9431,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,277,6,7/19/2022 4:35:43 PM,9431,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,278,7,7/19/2022 4:35:43 PM,9431,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,279,8,7/19/2022 4:35:44 PM,9431,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,312,1,7/19/2022 4:38:27 PM,9972,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,313,2,7/19/2022 4:38:28 PM,9972,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,314,3,7/19/2022 4:38:29 PM,9972,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,315,4,7/19/2022 4:38:30 PM,9972,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,316,5,7/19/2022 4:38:30 PM,9972,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,317,6,7/19/2022 4:38:31 PM,9972,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,318,7,7/19/2022 4:38:31 PM,9972,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,319,8,7/19/2022 4:38:32 PM,9972,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,352,1,7/19/2022 4:41:10 PM,615,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,353,2,7/19/2022 4:41:12 PM,615,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,354,3,7/19/2022 4:41:12 PM,615,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,355,4,7/19/2022 4:41:13 PM,615,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,356,5,7/19/2022 4:41:14 PM,615,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,357,6,7/19/2022 4:41:14 PM,615,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,358,7,7/19/2022 4:41:15 PM,615,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,359,8,7/19/2022 4:41:15 PM,615,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,392,1,7/19/2022 4:46:09 PM,1313,0,0
NMDX_LHPA_Buffer_TADM,700,Aspirating,PressureValues0,393,2,7/19/2022 4:46:10 PM,1313,0,0
